segment_id,road,direction,miles,road_class,func_class,aadt
segment_1216,road_11000173,SOUTHBOUND,0.477796,State Route,3,12550
segment_1217,road_11000173,NORTHBOUND,0.129299004004004,State Route,3,24622
segment_1218,road_11000173,SOUTHBOUND,2.468394,State Route,3,29238
segment_1219,road_11000174,NORTHBOUND,2.0168160040040037,State Route,4,10741
segment_1220,road_11000174,SOUTHBOUND,0.310812001001001,State Route,3,19289
segment_1221,road_11000174,SOUTHBOUND,0.096977004004004,State Route,3,17552
segment_1222,road_11000174,NORTHBOUND,0.335462003003003,State Route,3,17336
segment_1223,road_11000175,SOUTHBOUND,0.28932800400400405,State Route,3,16220
segment_1224,road_11000175,NORTHBOUND,0.321080003003003,State Route,3,15046
segment_1225,road_11000177,NORTHBOUND,0.07337400100100101,State Route,3,19832
segment_1226,road_11000177,SOUTHBOUND,0.069878002002002,State Route,3,24040
segment_1227,road_11000177,SOUTHBOUND,1.571949001001001,State Route,3,20129
segment_1228,road_11000177,NORTHBOUND,1.533336001001001,State Route,3,21119
segment_1229,road_11000178,NORTHBOUND,1.365812001001001,State Route,4,14068
segment_1230,road_11000178,SOUTHBOUND,1.220342002002002,State Route,4,17692
segment_1231,road_11000178,SOUTHBOUND,1.367814003003003,State Route,4,14030
segment_1232,road_11000178,SOUTHBOUND,0.044915,State Route,4,14136
segment_1233,road_11000179,EASTBOUND,0.422902001001001,State Route,3,19493
segment_1234,road_11000179,EASTBOUND,0.475657002002002,State Route,3,21285
segment_1235,road_11000179,EASTBOUND,0.864599,State Route,3,20478
segment_1236,road_11000179,WESTBOUND,0.323464001001001,State Route,3,20821
segment_1237,road_11000179,EASTBOUND,0.12911600200200202,State Route,3,17221
segment_1238,road_11000180,SOUTHBOUND,0.6926830040040041,US Route,2,44601
segment_1239,road_11000180,NORTHBOUND,0.7474780010010009,US Route,2,58959
segment_1240,road_11000180,NORTHBOUND,0.535086003003003,US Route,2,45972
segment_1241,road_11000180,NORTHBOUND,0.486216001001001,US Route,2,55597
segment_1242,road_11000180,NORTHBOUND,0.612645002002002,US Route,2,28918
segment_1243,road_11000180,NORTHBOUND,0.712907002002002,US Route,2,63566
segment_1244,road_11000180,NORTHBOUND,0.7439620030030031,US Route,2,30553
segment_1245,road_11000180,SOUTHBOUND,0.754858001001001,US Route,2,43887
segment_1246,road_11000180,SOUTHBOUND,0.321606,US Route,2,70957
segment_1247,road_11000180,SOUTHBOUND,1.4079320020020019,US Route,2,39698
segment_1248,road_11000180,SOUTHBOUND,1.027577,US Route,3,34632
segment_1249,road_11000180,NORTHBOUND,0.8332040040040041,US Route,3,28071
segment_1250,road_11000180,SOUTHBOUND,0.7896520020020019,US Route,2,35232
segment_1251,road_11000180,SOUTHBOUND,0.336044004004004,US Route,2,50949
segment_1252,road_11000180,SOUTHBOUND,0.5325180020020019,US Route,2,53804
segment_1253,road_11000180,SOUTHBOUND,0.450976003003003,US Route,2,46460
segment_1254,road_11000180,SOUTHBOUND,0.14685200100100101,US Route,2,66486
segment_1255,road_11000180,SOUTHBOUND,0.519475001001001,US Route,2,64130
segment_1256,road_11000180,SOUTHBOUND,0.710649004004004,US Route,2,16760
segment_1257,road_11000185,SOUTHBOUND,0.095582003003003,State Route,3,14269
segment_1258,road_11000185,SOUTHBOUND,0.405844003003003,State Route,3,17327
segment_1259,road_11000194,WESTBOUND,0.580907001001001,Other,3,12868
segment_1260,road_11000211,SOUTHBOUND,1.2484650030030031,US Route,2,23490
segment_1261,road_11000211,SOUTHBOUND,2.028203002002002,US Route,2,13923
segment_1262,road_11000211,SOUTHBOUND,1.605066004004004,US Route,2,9290
segment_1263,road_11000211,NORTHBOUND,2.410911004004004,US Route,2,28025
segment_1264,road_11000211,NORTHBOUND,0.211818003003003,US Route,2,29906
segment_1265,road_11000211,NORTHBOUND,0.341377002002002,US Route,2,15373
segment_1266,road_11000211,NORTHBOUND,2.0292040030030027,US Route,2,12516
segment_1267,road_11000211,SOUTHBOUND,0.064911001001001,US Route,2,9323
segment_1268,road_11000211,NORTHBOUND,1.2408520010010011,US Route,2,22792
segment_1269,road_11000211,SOUTHBOUND,1.809066003003003,US Route,2,9911
segment_1270,road_11000211,SOUTHBOUND,2.443854001001001,US Route,2,27951
segment_1271,road_11000211,SOUTHBOUND,4.120167003003003,US Route,2,8724
segment_1272,road_11000211,NORTHBOUND,2.323494004004004,US Route,2,14852
segment_1273,road_11000211,NORTHBOUND,2.015249,US Route,2,52553
segment_1274,road_11000211,SOUTHBOUND,1.7280310010010012,US Route,2,48493
segment_1275,road_11000211,NORTHBOUND,0.49637900100100096,US Route,2,32147
segment_1276,road_11000211,SOUTHBOUND,0.07101800400400402,US Route,2,20085
segment_1277,road_11000211,SOUTHBOUND,0.13382000300300298,US Route,2,20061
segment_1278,road_11000211,NORTHBOUND,1.724608004004004,US Route,2,8136
segment_1279,road_11000211,SOUTHBOUND,0.051027,US Route,2,5442
segment_1280,road_11000211,NORTHBOUND,1.8651850040040039,US Route,2,17258
segment_1281,road_11000211,NORTHBOUND,0.494822003003003,US Route,2,27611
segment_1282,road_11000211,SOUTHBOUND,0.554816002002002,US Route,2,29802
segment_1283,road_11000211,SOUTHBOUND,1.064431003003003,US Route,2,30325
segment_1284,road_11000211,NORTHBOUND,3.089014003003003,US Route,2,22764
segment_1285,road_11000211,NORTHBOUND,0.049887002002001996,US Route,2,19278
segment_1286,road_11000211,NORTHBOUND,4.140874002002002,US Route,2,7967
segment_1287,road_11000211,NORTHBOUND,1.925775001001001,US Route,2,9901
segment_1288,road_11000212,SOUTHBOUND,0.10474900300300301,State Route,2,40296
segment_1289,road_11000212,NORTHBOUND,1.496164003003003,State Route,2,37977
segment_1290,road_11000212,SOUTHBOUND,1.020052,State Route,3,23111
segment_1291,road_11000212,NORTHBOUND,0.883481001001001,State Route,2,46730
segment_1292,road_11000212,SOUTHBOUND,1.310988,State Route,2,38424
segment_1293,road_11000212,SOUTHBOUND,0.538386,State Route,3,40032
segment_1294,road_11000212,NORTHBOUND,0.101136,State Route,2,30091
segment_1295,road_11000212,NORTHBOUND,1.0152950010010011,State Route,3,25655
segment_1296,road_11000212,NORTHBOUND,0.514624,State Route,2,42130
segment_1297,road_11000212,SOUTHBOUND,0.073816003003003,State Route,2,30707
segment_1298,road_11000212,SOUTHBOUND,1.553373004004004,State Route,2,38112
segment_1299,road_11000212,NORTHBOUND,1.76641,State Route,2,23955
segment_1300,road_11000212,SOUTHBOUND,0.614683,State Route,2,26794
segment_1301,road_11000212,NORTHBOUND,0.077533002002002,State Route,2,19555
segment_1302,road_11000214,SOUTHBOUND,0.189901003003003,State Route,4,16530
segment_1303,road_11000214,SOUTHBOUND,0.785411003003003,State Route,3,12699
segment_1304,road_11000214,SOUTHBOUND,2.463215001001001,State Route,4,11412
segment_1305,road_11000214,NORTHBOUND,2.543349,State Route,4,13360
segment_1306,road_11000214,SOUTHBOUND,1.051164,State Route,3,26899
segment_1307,road_11000214,NORTHBOUND,0.928808003003003,State Route,3,32042
segment_1308,road_11000216,EASTBOUND,0.669701002002002,State Route,3,27629
segment_1309,road_11000216,WESTBOUND,1.725221004004004,State Route,3,21060
segment_1310,road_11000216,EASTBOUND,0.784116003003003,State Route,3,28546
segment_1311,road_11000216,EASTBOUND,2.070129001001001,State Route,3,18843
segment_1312,road_11000216,EASTBOUND,0.264934002002002,State Route,3,11119
